Latitude,Longitude,Pb,Cu,Region
43.026243,-83.708742,0,0,North
43.026167,-83.716389,14,0,North
43.025973,-83.711309,2,0,North
43.025571,-83.729735,0,0,North
43.0252,-83.69755,0,0,North
43.024549,-83.727474,0,0,North
43.02391,-83.723556,5,50,North
43.023861,-83.688982,0,0,North
43.023313,-83.680392,0,0,North
43.022904,-83.710976,0,80,South
43.022615,-83.727156,0.5,0,South
43.022414,-83.716001,3,0,South
43.022112,-83.729484,0,100,South
43.022107,-83.720666,2,70,South
43.021819,-83.693936,0,0,South
43.021717,-83.659564,2,0,South
43.02157,-83.694203,22,1890,South
43.021388,-83.663814,0,50,South
43.021349,-83.657864,2,0,South
43.021245,-83.717923,1,70,South
43.021209,-83.681266,0,0,South
43.021071,-83.658913,2.5,30,South
43.020813,-83.721542,0,80,South
43.020726,-83.680087,1,0,South
43.020588,-83.69949,17,110,South
43.020525,-83.665646,0,0,South
43.020455,-83.654786,1,180,South
43.020385,-83.659479,0.5,105,South
43.020364,-83.668011,0,0,South
43.020276,-83.658102,0,0,South
43.0201,-83.655921,0,90,South
43.020057,-83.657862,3,0,South
43.020044,-83.658939,0,0,South
43.019658,-83.680887,0,0,South
43.019289,-83.681036,7,160,South
43.019171,-83.679488,6.5,0,South
43.018996,-83.696991,0,120,South
43.018916,-83.656205,16,0,South
43.018887,-83.659769,0,0,South
43.018885,-83.660157,0,130,South
43.018675,-83.637657,0,150,South
43.01853,-83.731088,0,95,South
43.018408,-83.680503,0,0,South
43.018408,-83.657021,18,0,South
43.018338,-83.730756,7,110,South
43.018089,-83.662795,6,0,South
43.017862,-83.659155,8.75,115,South
43.017858,-83.659334,0,0,South
43.017719,-83.725022,9,580,South
43.017566,-83.6815,5,260,South
43.017461,-83.72892,1,0,South
43.017427,-83.680381,6,60,South
43.017423,-83.658578,0.5,40,South
43.017407,-83.660229,4,0,South
43.017401,-83.660806,3,110,South
43.017328,-83.695952,4,160,South
43.017263,-83.720819,8,143.3333333,South
43.017232,-83.667138,2,0,South
43.017178,-83.72408,0,0,South
43.017165,-83.669487,1,0,South
43.01716,-83.658383,0,0,South
43.017155,-83.65876,1,90,South
43.017123,-83.661637,5,0,South
43.017097,-83.667133,0,0,South
43.017059,-83.705006,12,120,South
43.017055,-83.679708,0,0,South
43.017045,-83.706024,11,0,South
43.016967,-83.728269,2,90,South
43.016779,-83.658231,0,70,South
43.016766,-83.680531,0,0,South
43.016468,-83.640728,0,0,South
43.016447,-83.66463,2,110,South
43.016441,-83.658428,0,0,South
43.016312,-83.664625,0,100,South
43.01627,-83.6671,0,0,South
43.016105,-83.660237,2,210,South
43.016006,-83.718974,2,0,South
43.01588,-83.663293,4,0,South
43.015773,-83.635924,0,0,South
43.015603,-83.671308,9,380,South
43.015549,-83.718211,0,0,South
43.015415,-83.718337,3,0,South
43.014982,-83.636829,7,0,South
43.014833,-83.667029,3,0,South
43.014735,-83.63875,0,0,South
43.014649,-83.670255,2,0,South
43.014581,-83.707569,4.5,0,South
43.014553,-83.672076,0,200,South
43.014375,-83.716664,4.6,0,South
43.014262,-83.71633,0,0,South
43.014043,-83.711778,0.571428571,40,South
43.014002,-83.720896,0,0,South
43.013986,-83.665897,0,0,South
43.013797,-83.73129,0,50,South
43.013702,-83.71535,2,80,South
43.013666,-83.729361,0,90,South
43.013598,-83.730014,0,0,South
43.01312,-83.693143,1,0,South
43.013117,-83.717978,5,60,South
43.013091,-83.675655,0,100,South
43.013029,-83.728406,0,200,South
43.012563,-83.693186,11,100,South
43.011926,-83.665725,0,140,South
43.011779,-83.665157,0,0,South
43.011546,-83.673502,0,0,South
43.011315,-83.730966,0,0,South
43.011285,-83.671597,0,35,South
43.011159,-83.73221,4.5,130,South
43.011093,-83.685409,0,0,South
43.010609,-83.732013,0.428571429,0,South
43.009696,-83.688795,2,86.66666667,South
43.009666,-83.637405,0,0,South
43.00963,-83.725145,0,125,South
43.009542,-83.692776,0,0,South
43.009446,-83.753561,0,40,South
43.009143,-83.638609,1.5,0,South
43.008837,-83.645699,0,0,South
43.008828,-83.738153,0,235,South
43.008644,-83.643587,0,0,South
43.008527,-83.651836,0,150,South
43.008464,-83.699806,0.75,0,South
43.00803,-83.692793,18,0,South
43.007727,-83.65932,3,80,South
43.007711,-83.644664,8,160,South
43.007596,-83.681431,1,0,South
43.007291,-83.636188,3.5,190,South
43.006949,-83.697704,2.25,0,South
43.00694,-83.692339,0,0,South
43.00677,-83.658516,0,0,South
43.006643,-83.692116,2,270,South
43.006553,-83.69204,6,0,South
43.006478,-83.722036,2,100,South
43.006463,-83.739997,1,0,South
43.006445,-83.642869,3,0,South
43.006425,-83.719067,0,0,South
43.006373,-83.719284,1,0,South
43.00631,-83.736726,4,0,South
43.006301,-83.721963,2,110,South
43.006288,-83.647728,0,0,South
43.006229,-83.690711,0,0,South
43.006178,-83.6558,1.5,105,South
43.006039,-83.637351,1.5,0,South
43.005951,-83.640606,0,0,South
43.005933,-83.736406,13,90,South
43.005926,-83.641497,0,0,South
43.005872,-83.647706,0,0,South
43.005382,-83.660846,0,60,South
43.005313,-83.634963,0,0,South
43.005282,-83.722279,2,110,South
43.005251,-83.664788,0,40,South
43.005187,-83.667291,0,70,South
43.004848,-83.729601,2,0,South
43.004752,-83.729063,0,0,South
43.004491,-83.641667,0,0,South
43.004312,-83.6383,0.5,0,South
43.004262,-83.658713,0,0,South
43.004248,-83.66726,4,50,South
43.003553,-83.722693,0,0,South
43.003505,-83.715598,0,0,South
43.003121,-83.712525,0,0,South
43.002942,-83.710154,2,0,South
43.002911,-83.740136,0,0,South
43.002825,-83.711166,2,80,South
43.002647,-83.713019,1,0,South
43.002458,-83.71509,0,110,South
43.002435,-83.6686,19,210,South
43.002178,-83.715444,0,0,South
43.002021,-83.723925,0,0,South
43.001993,-83.724322,0,0,South
43.00123,-83.726763,1,105,South
43.001081,-83.712665,0.5,0,South
43.001009,-83.711846,0,0,South
43.000957,-83.728987,0,0,South
43.000733,-83.722615,0,0,South
43.000316,-83.679715,0,100,South
43.000276,-83.730532,3,0,South
43.000035,-83.722787,0,0,South
42.999928,-83.676266,0,0,South
42.999836,-83.711453,0,0,South
42.999456,-83.726787,4.5,0,South
42.999345,-83.732864,0,0,South
42.999236,-83.664634,0,0,South
42.999106,-83.689964,0,0,South
42.99878,-83.660367,3,0,South
42.998746,-83.709899,1,0,South
42.998745,-83.720922,0,0,South
42.998532,-83.727376,2.5,0,South
42.998312,-83.709671,7,0,South
42.998001,-83.734057,0,0,South
42.997672,-83.731578,0,0,South
42.997599,-83.72734,1,0,South
42.997483,-83.731551,3,0,South
42.997292,-83.727468,0,0,South
